geoid,lat,lng
17031060400,41.9506731,-87.6665364
17031060500,41.95272,-87.6605008
17031060800,41.953959,-87.6426489
17031060900,41.9515166,-87.6417784
17031061000,41.9492206,-87.6519703
17031061100,41.9491398,-87.6568035
17031061200,41.9490599,-87.6616427
17031061500,41.9452818,-87.6615447
17031061800,41.9464901,-87.6471147
17031061901,41.9432305,-87.6434679
17031061902,41.9466985,-87.6390645
17031062000,41.9425769,-87.6470786
17031062100,41.9426914,-87.6517704
17031062200,41.9425847,-87.656644
17031062300,41.9416278,-87.6614432
17031062400,41.9415556,-87.6662882
17031062500,41.941488,-87.6711073
17031062600,41.9359751,-87.6709843
17031062700,41.9360862,-87.6661103
17031062800,41.9361586,-87.6612648
17031062900,41.936237,-87.6564113
17031063000,41.9363102,-87.6515617
17031063100,41.9382319,-87.6467799
17031063200,41.9389231,-87.6346726
17031063301,41.9345407,-87.6430239
17031063302,41.9347647,-87.639854
17031063303,41.9347312,-87.6346613
17031063400,41.9346596,-87.64673
17031070101,41.9295225,-87.6323247
17031070102,41.9305828,-87.642202
17031070103,41.926811,-87.6426051
17031070200,41.9290777,-87.646293
17031070300,41.9290462,-87.6513103
17031070400,41.9289672,-87.6561563
17031070500,41.9289455,-87.6608922
17031070600,41.9287627,-87.6656766
17031070700,41.9306521,-87.6741038
17031071000,41.9217011,-87.6559114
17031071100,41.9217778,-87.6510614
17031071200,41.9218547,-87.6462106
17031071300,41.9217794,-87.6414578
17031071400,41.9227255,-87.6295259
17031071500,41.9142415,-87.6250923
17031071600,41.9164722,-87.6411823
17031071700,41.9128666,-87.6410717
17031071800,41.9145855,-87.645966
17031080100,41.9075487,-87.62679
17031080201,41.9094976,-87.6310051
17031080202,41.9058589,-87.630901
17031080300,41.9074899,-87.6357987
17031080400,41.9074123,-87.6409015
17031081000,41.9002655,-87.6321089
17031081100,41.9002211,-87.6291049
17031081201,41.8991538,-87.626212
17031081202,41.9043769,-87.6242374
17031081300,41.8983354,-87.6207531
17031081401,41.8950347,-87.6197175
17031081402,41.8910215,-87.612931
17031081403,41.8929908,-87.620956
17031081500,41.8929064,-87.6260787
17031081600,41.8920572,-87.6288708
17031081700,41.8922185,-87.6318316
17031081800,41.8933243,-87.6391895
17031081900,41.89799,-87.641487
17031090100,42.0152552,-87.8135872
17031090200,42.005594,-87.8130961
17031090300,41.9991127,-87.8163644
17031100100,41.989584,-87.7830136
17031100200,41.9957734,-87.7942589
17031100300,41.988733,-87.8042597
17031100400,41.9889687,-87.8180411
17031100500,41.9780453,-87.8197314
17031100600,41.9792049,-87.7974007
17031100700,41.9721235,-87.7976295
17031110100,41.9874756,-87.7696729
17031110200,41.9800699,-87.7734442
17031110300,41.9752907,-87.7832349
17031110400,41.9729536,-87.7726114
17031110501,41.9770023,-87.7619249
17031110502,41.9702865,-87.7598523
17031120100,42.0019817,-87.7750065
17031120200,41.9945319,-87.7576108
17031120300,41.9911122,-87.740066
17031120400,41.9772354,-87.7521624
17031130100,41.991104,-87.7208089
17031130200,41.9818378,-87.7375733
17031130300,41.9865589,-87.7133915
17031140100,41.9712014,-87.705805
17031140200,41.9706949,-87.7130043
17031140301,41.9692055,-87.7231695
17031140302,41.9724938,-87.7237561
17031140400,41.9715371,-87.7389429
17031140500,41.9653619,-87.7318319
17031140601,41.9646471,-87.7258909
17031140602,41.964652,-87.7210166
17031140701,41.9670375,-87.7126524
17031140702,41.9635482,-87.7135753
17031140800,41.9645144,-87.7028469
17031150200,41.9606747,-87.7524131
17031150300,41.9605179,-87.7622859
17031150401,41.9645676,-87.7722648
17031150402,41.9567979,-87.7720436
17031150501,41.9644762,-87.7819639
17031150502,41.9567784,-87.7818414
17031150600,41.9494731,-87.7717578
17031150700,41.9495915,-87.761958
17031150800,41.9497086,-87.7521182
17031151001,41.9423826,-87.7543527
17031151002,41.9424917,-87.7471554
17031151100,41.9422903,-87.7617175
17031151200,41.942169,-87.7714953
17031160100,41.9646282,-87.7427956
17031160200,41.9587931,-87.7383981
17031160300,41.9572681,-87.7308958
17031160400,41.9573657,-87.7228238
17031160501,41.9592098,-87.7129732
17031160502,41.9555841,-87.7130876
17031160601,41.959398,-87.7032936
17031160602,41.9566814,-87.7004635
17031160700,41.9512177,-87.7021347
17031160800,41.9502131,-87.7128146
17031160900,41.9500821,-87.7226082
17031161000,41.9499766,-87.7306829
17031161100,41.94988,-87.738155
17031161200,41.9425489,-87.7385701
17031161300,41.9426994,-87.7310023
17031170100,41.9558596,-87.7948168
17031170200,41.9493528,-87.7815188
17031170300,41.9491248,-87.7968278
17031170400,41.9489081,-87.8127107
17031170500,41.9500779,-87.8288957
17031170600,41.9412943,-87.8307016
17031170700,41.9414866,-87.822164
17031170800,41.9415761,-87.8123713
17031170900,41.9361958,-87.8116057
17031171000,41.9418072,-87.7965238
17031171100,41.9420528,-87.7812865
17031180100,41.9344851,-87.7986317
17031190100,41.9352176,-87.7443889
17031190200,41.9351136,-87.7516489
17031190300,41.9349864,-87.7614635
17031190401,41.9347276,-87.7809524
17031190402,41.9348596,-87.7712318
